Maakunta,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
MA1 MANNER - SUOMI,4973874,5004155,5029989,5052810,5073596,5091624,5107063,5121957,5134021,5145596,5155339,5168893,5180038,5193385,5210081,5228814,5250032,5273331,5298858,5323693,5347269,5372913,5398173,5422604,5442837,5458325,5474083,5483641,5488130,5494524,5500619,5506386,5511772,5516715,5521162,5525035,5528282,5530869,5532706,5533828,5534127,5533630,5532281,5530041,5526975,5523044,5518273,5512722,5506313,5499207,5491352
MK01 Uusimaa,1232236,1248072,1261807,1277609,1293573,1310680,1327243,1344989,1362634,1379712,1394199,1408525,1419938,1429869,1439400,1452083,1467453,1483719,1501511,1517542,1532309,1549058,1566835,1585473,1603388,1620261,1638293,1655624,1671024,1686320,1701280,1715868,1730052,1743813,1757101,1769914,1782231,1794018,1805291,1816071,1826362,1836142,1845431,1854222,1862517,1870317,1877608,1884398,1890686,1896521,1901907
MK02 Varsinais-Suomi,425282,427158,428864,430409,432603,435119,437491,439973,443050,445542,447103,449293,450968,452444,453745,455584,457789,459235,461177,462914,465183,467217,468936,470880,472725,474323,475543,477677,478582,479371,480126,480847,481545,482215,482874,483518,484115,484678,485195,485639,486015,486300,486511,486612,486621,486533,486336,486035,485634,485138,484568
MK04 Satakunta,240777,240767,240744,240519,240028,239255,238057,236818,235662,234233,232569,231307,230480,229910,229389,228675,228051,227131,226358,226116,225762,225302,224934,224556,223983,222957,221740,220398,218624,217235,215887,214572,213276,212000,210735,209482,208229,207000,205787,204575,203356,202140,200926,199712,198489,197283,196083,194898,193721,192563,191403
MK05 Kanta-Häme,162248,163442,164363,164767,164957,164937,164892,165026,164914,165190,165307,165509,165886,166648,167630,168381,169952,171449,173041,173828,174555,175230,175472,175481,175350,174710,173781,172720,171364,170350,169386,168454,167558,166687,165835,164999,164170,163351,162540,161743,160969,160217,159475,158740,158019,157314,156620,155940,155265,154607,153955
MK06 Pirkanmaa,427223,429029,430739,432469,434829,437525,439917,442440,444992,447525,450346,453986,457186,460450,464586,468604,473490,477931,481999,485706,489192,492737,496568,500166,503382,506114,509356,512081,515095,517409,519600,521673,523648,525524,527292,528973,530562,532041,533414,534677,535837,536861,537756,538531,539182,539706,540089,540345,540478,540509,540430
MK07 Päijät-Häme,197012,197753,198329,198503,198456,198286,197707,197710,197443,197347,197378,197656,198088,198434,198685,198975,199235,200061,200847,201270,201772,202236,202548,202424,202009,201615,201685,201228,200629,200045,199466,198898,198323,197737,197140,196524,195898,195259,194602,193937,193247,192534,191801,191046,190266,189484,188684,187878,187063,186252,185436
MK08 Kymenlaakso,193919,194182,194160,193784,193177,192282,191506,190570,189802,188633,187474,186707,186111,185662,185541,185196,184241,183564,182754,182617,182382,181829,181421,180845,179858,178688,177659,175511,173388,171739,170127,168570,167060,165577,164127,162702,161307,159940,158597,157263,155946,154649,153358,152088,150823,149580,148361,147167,145988,144820,143661
MK09 Etelä-Karjala,140244,140150,139907,139569,139297,138678,138163,137944,137238,136525,136299,136161,135840,135458,134962,134786,134441,133899,133647,133210,132899,132527,132355,132252,131764,131155,130506,129865,128756,127917,127088,126265,125450,124661,123883,123122,122359,121614,120878,120150,119419,118694,117969,117236,116515,115782,115051,114321,113588,112860,112138
MK10 Etelä-Savo,175233,175083,175119,174686,174118,173321,172226,171009,169521,167958,166575,165329,164130,163139,162219,161325,160306,158679,157433,156377,155472,154522,153426,152518,151562,150305,148975,147194,144615,142943,141332,139766,138252,136780,135361,133969,132635,131333,130056,128829,127605,126421,125252,124096,122957,121834,120729,119649,118582,117543,116522
MK11 Pohjois-Savo,258633,259640,260495,260617,260564,260085,259486,258486,256927,255456,253759,252842,251976,251356,251095,250064,249498,248872,248423,248182,247943,248130,248233,248430,248407,248129,247776,246653,245602,244648,243694,242765,241848,240941,240044,239130,238233,237335,236422,235503,234558,233609,232621,231616,230570,229502,228408,227285,226137,224967,223779
MK12 Pohjois-Karjala,176836,177449,177893,178076,177917,177271,176220,175137,173664,172551,171609,170793,169722,169129,168615,168322,167519,166744,166129,165962,165866,165906,165754,165445,165258,164755,164085,162986,162240,161462,160701,159945,159212,158488,157789,157103,156425,155749,155081,154418,153737,153053,152348,151639,150908,150155,149386,148610,147811,146990,146164
MK13 Keski-Suomi,257967,259842,261046,261805,262677,262987,263983,264655,264807,265129,265683,266522,266806,267816,268885,269575,269636,270701,271747,272784,273637,274379,275161,275320,275360,275780,276196,276031,275521,275193,274835,274462,274071,273668,273270,272857,272412,271961,271477,270972,270423,269844,269226,268554,267855,267106,266321,265494,264632,263745,262846
MK14 Etelä-Pohjanmaa,201670,201972,202333,202477,202162,200857,199836,198641,197703,196795,195615,194542,194105,193954,194076,193812,193585,193815,193511,193524,193504,193735,194058,193977,193400,192586,191860,190910,189715,188699,187713,186739,185794,184858,183940,183043,182163,181283,180405,179523,178645,177758,176883,176008,175130,174243,173365,172501,171641,170792,169919
MK15 Pohjanmaa,172448,173183,173788,174083,174185,174167,174291,174230,174099,173533,173228,173083,173006,173111,173435,173627,174211,174987,175985,177038,177946,179106,179663,180384,181156,181679,181441,180945,180794,180668,180536,180409,180268,180121,179959,179771,179557,179315,179041,178741,178419,178081,177714,177315,176889,176428,175934,175420,174872,174299,173709
MK16 Keski-Pohjanmaa,68214,68503,68887,69315,69627,69539,69213,69021,68773,68345,68052,67671,67497,67441,67369,67612,67632,67898,67991,68131,68321,68484,68610,68677,68832,69032,69027,68780,68437,68262,68082,67906,67721,67536,67345,67147,66935,66720,66491,66256,66002,65739,65467,65191,64904,64627,64344,64060,63780,63509,63230
MK17 Pohjois-Pohjanmaa,350799,354088,357072,359433,361751,364443,366218,367361,368302,369827,372639,375182,377045,378903,381792,384808,387320,390038,392652,395510,398335,401201,403920,406480,408536,410054,411150,411856,412161,412600,412879,413022,413044,412959,412767,412492,412135,411711,411214,410645,410025,409331,408580,407763,406932,406023,405069,404083,403036,401942,400792
MK18 Kainuu,92459,92190,92010,91794,91350,90781,90035,88896,87843,86943,85736,84497,83477,82744,82214,81585,80738,80218,79690,79234,78703,77984,77435,76782,76119,75324,74803,73959,73061,72206,71385,70608,69865,69150,68460,67784,67128,66483,65856,65247,64651,64075,63497,62925,62365,61814,61272,60742,60222,59706,59196
MK19 Lappi,200674,201652,202433,202895,202325,201411,200579,199051,196647,194352,191768,189288,187777,186917,186443,185800,184935,184390,183963,183748,183488,183330,182844,182514,181748,180858,180207,179223,178522,177457,176502,175617,174785,174000,173240,172505,171788,171078,170359,169639,168911,168182,167466,166747,166033,165313,164613,163896,163177,162444,161697
MA2 AHVENANMAA,24604,24847,24993,25102,25158,25202,25257,25392,25625,25706,25776,26008,26257,26347,26530,26766,26923,27153,27456,27734,28007,28354,28501,28666,28916,28983,29214,29489,29789,30042,30303,30557,30800,31044,31279,31511,31733,31957,32159,32356,32558,32739,32921,33100,33268,33428,33583,33738,33886,34040,34176
MK21 Ahvenanmaa,24604,24847,24993,25102,25158,25202,25257,25392,25625,25706,25776,26008,26257,26347,26530,26766,26923,27153,27456,27734,28007,28354,28501,28666,28916,28983,29214,29489,29789,30042,30303,30557,30800,31044,31279,31511,31733,31957,32159,32356,32558,32739,32921,33100,33268,33428,33583,33738,33886,34040,34176