"128v -- Väestöennuste 2019: Väestö iän ja sukupuolen mukaan alueittain, 2019-2040"

"Alue";"Vuosi";"Yhteensä Yhteensä Väestö 31.12. (ennuste 2019)"
"MA1 MANNER-SUOMI";"2019";5494524
"MA1 MANNER-SUOMI";"2020";5500619
"MA1 MANNER-SUOMI";"2021";5506386
"MA1 MANNER-SUOMI";"2022";5511772
"MA1 MANNER-SUOMI";"2023";5516715
"MA1 MANNER-SUOMI";"2024";5521162
"MA1 MANNER-SUOMI";"2025";5525035
"MA1 MANNER-SUOMI";"2026";5528282
"MA1 MANNER-SUOMI";"2027";5530869
"MA1 MANNER-SUOMI";"2028";5532706
"MA1 MANNER-SUOMI";"2029";5533828
"MA1 MANNER-SUOMI";"2030";5534127
"MA1 MANNER-SUOMI";"2031";5533630
"MA1 MANNER-SUOMI";"2032";5532281
"MA1 MANNER-SUOMI";"2033";5530041
"MA1 MANNER-SUOMI";"2034";5526975
"MA1 MANNER-SUOMI";"2035";5523044
"MA1 MANNER-SUOMI";"2036";5518273
"MA1 MANNER-SUOMI";"2037";5512722
"MA1 MANNER-SUOMI";"2038";5506313
"MA1 MANNER-SUOMI";"2039";5499207
"MA1 MANNER-SUOMI";"2040";5491352
"MK01 Uusimaa";"2019";1686320
"MK01 Uusimaa";"2020";1701280
"MK01 Uusimaa";"2021";1715868
"MK01 Uusimaa";"2022";1730052
"MK01 Uusimaa";"2023";1743813
"MK01 Uusimaa";"2024";1757101
"MK01 Uusimaa";"2025";1769914
"MK01 Uusimaa";"2026";1782231
"MK01 Uusimaa";"2027";1794018
"MK01 Uusimaa";"2028";1805291
"MK01 Uusimaa";"2029";1816071
"MK01 Uusimaa";"2030";1826362
"MK01 Uusimaa";"2031";1836142
"MK01 Uusimaa";"2032";1845431
"MK01 Uusimaa";"2033";1854222
"MK01 Uusimaa";"2034";1862517
"MK01 Uusimaa";"2035";1870317
"MK01 Uusimaa";"2036";1877608
"MK01 Uusimaa";"2037";1884398
"MK01 Uusimaa";"2038";1890686
"MK01 Uusimaa";"2039";1896521
"MK01 Uusimaa";"2040";1901907
"MK02 Varsinais-Suomi";"2019";479371
"MK02 Varsinais-Suomi";"2020";480126
"MK02 Varsinais-Suomi";"2021";480847
"MK02 Varsinais-Suomi";"2022";481545
"MK02 Varsinais-Suomi";"2023";482215
"MK02 Varsinais-Suomi";"2024";482874
"MK02 Varsinais-Suomi";"2025";483518
"MK02 Varsinais-Suomi";"2026";484115
"MK02 Varsinais-Suomi";"2027";484678
"MK02 Varsinais-Suomi";"2028";485195
"MK02 Varsinais-Suomi";"2029";485639
"MK02 Varsinais-Suomi";"2030";486015
"MK02 Varsinais-Suomi";"2031";486300
"MK02 Varsinais-Suomi";"2032";486511
"MK02 Varsinais-Suomi";"2033";486612
"MK02 Varsinais-Suomi";"2034";486621
"MK02 Varsinais-Suomi";"2035";486533
"MK02 Varsinais-Suomi";"2036";486336
"MK02 Varsinais-Suomi";"2037";486035
"MK02 Varsinais-Suomi";"2038";485634
"MK02 Varsinais-Suomi";"2039";485138
"MK02 Varsinais-Suomi";"2040";484568
"MK04 Satakunta";"2019";217235
"MK04 Satakunta";"2020";215887
"MK04 Satakunta";"2021";214572
"MK04 Satakunta";"2022";213276
"MK04 Satakunta";"2023";212000
"MK04 Satakunta";"2024";210735
"MK04 Satakunta";"2025";209482
"MK04 Satakunta";"2026";208229
"MK04 Satakunta";"2027";207000
"MK04 Satakunta";"2028";205787
"MK04 Satakunta";"2029";204575
"MK04 Satakunta";"2030";203356
"MK04 Satakunta";"2031";202140
"MK04 Satakunta";"2032";200926
"MK04 Satakunta";"2033";199712
"MK04 Satakunta";"2034";198489
"MK04 Satakunta";"2035";197283
"MK04 Satakunta";"2036";196083
"MK04 Satakunta";"2037";194898
"MK04 Satakunta";"2038";193721
"MK04 Satakunta";"2039";192563
"MK04 Satakunta";"2040";191403
"MK05 Kanta-Häme";"2019";170350
"MK05 Kanta-Häme";"2020";169386
"MK05 Kanta-Häme";"2021";168454
"MK05 Kanta-Häme";"2022";167558
"MK05 Kanta-Häme";"2023";166687
"MK05 Kanta-Häme";"2024";165835
"MK05 Kanta-Häme";"2025";164999
"MK05 Kanta-Häme";"2026";164170
"MK05 Kanta-Häme";"2027";163351
"MK05 Kanta-Häme";"2028";162540
"MK05 Kanta-Häme";"2029";161743
"MK05 Kanta-Häme";"2030";160969
"MK05 Kanta-Häme";"2031";160217
"MK05 Kanta-Häme";"2032";159475
"MK05 Kanta-Häme";"2033";158740
"MK05 Kanta-Häme";"2034";158019
"MK05 Kanta-Häme";"2035";157314
"MK05 Kanta-Häme";"2036";156620
"MK05 Kanta-Häme";"2037";155940
"MK05 Kanta-Häme";"2038";155265
"MK05 Kanta-Häme";"2039";154607
"MK05 Kanta-Häme";"2040";153955
"MK06 Pirkanmaa";"2019";517409
"MK06 Pirkanmaa";"2020";519600
"MK06 Pirkanmaa";"2021";521673
"MK06 Pirkanmaa";"2022";523648
"MK06 Pirkanmaa";"2023";525524
"MK06 Pirkanmaa";"2024";527292
"MK06 Pirkanmaa";"2025";528973
"MK06 Pirkanmaa";"2026";530562
"MK06 Pirkanmaa";"2027";532041
"MK06 Pirkanmaa";"2028";533414
"MK06 Pirkanmaa";"2029";534677
"MK06 Pirkanmaa";"2030";535837
"MK06 Pirkanmaa";"2031";536861
"MK06 Pirkanmaa";"2032";537756
"MK06 Pirkanmaa";"2033";538531
"MK06 Pirkanmaa";"2034";539182
"MK06 Pirkanmaa";"2035";539706
"MK06 Pirkanmaa";"2036";540089
"MK06 Pirkanmaa";"2037";540345
"MK06 Pirkanmaa";"2038";540478
"MK06 Pirkanmaa";"2039";540509
"MK06 Pirkanmaa";"2040";540430
"MK07 Päijät-Häme";"2019";200045
"MK07 Päijät-Häme";"2020";199466
"MK07 Päijät-Häme";"2021";198898
"MK07 Päijät-Häme";"2022";198323
"MK07 Päijät-Häme";"2023";197737
"MK07 Päijät-Häme";"2024";197140
"MK07 Päijät-Häme";"2025";196524
"MK07 Päijät-Häme";"2026";195898
"MK07 Päijät-Häme";"2027";195259
"MK07 Päijät-Häme";"2028";194602
"MK07 Päijät-Häme";"2029";193937
"MK07 Päijät-Häme";"2030";193247
"MK07 Päijät-Häme";"2031";192534
"MK07 Päijät-Häme";"2032";191801
"MK07 Päijät-Häme";"2033";191046
"MK07 Päijät-Häme";"2034";190266
"MK07 Päijät-Häme";"2035";189484
"MK07 Päijät-Häme";"2036";188684
"MK07 Päijät-Häme";"2037";187878
"MK07 Päijät-Häme";"2038";187063
"MK07 Päijät-Häme";"2039";186252
"MK07 Päijät-Häme";"2040";185436
"MK08 Kymenlaakso";"2019";171739
"MK08 Kymenlaakso";"2020";170127
"MK08 Kymenlaakso";"2021";168570
"MK08 Kymenlaakso";"2022";167060
"MK08 Kymenlaakso";"2023";165577
"MK08 Kymenlaakso";"2024";164127
"MK08 Kymenlaakso";"2025";162702
"MK08 Kymenlaakso";"2026";161307
"MK08 Kymenlaakso";"2027";159940
"MK08 Kymenlaakso";"2028";158597
"MK08 Kymenlaakso";"2029";157263
"MK08 Kymenlaakso";"2030";155946
"MK08 Kymenlaakso";"2031";154649
"MK08 Kymenlaakso";"2032";153358
"MK08 Kymenlaakso";"2033";152088
"MK08 Kymenlaakso";"2034";150823
"MK08 Kymenlaakso";"2035";149580
"MK08 Kymenlaakso";"2036";148361
"MK08 Kymenlaakso";"2037";147167
"MK08 Kymenlaakso";"2038";145988
"MK08 Kymenlaakso";"2039";144820
"MK08 Kymenlaakso";"2040";143661
"MK09 Etelä-Karjala";"2019";127917
"MK09 Etelä-Karjala";"2020";127088
"MK09 Etelä-Karjala";"2021";126265
"MK09 Etelä-Karjala";"2022";125450
"MK09 Etelä-Karjala";"2023";124661
"MK09 Etelä-Karjala";"2024";123883
"MK09 Etelä-Karjala";"2025";123122
"MK09 Etelä-Karjala";"2026";122359
"MK09 Etelä-Karjala";"2027";121614
"MK09 Etelä-Karjala";"2028";120878
"MK09 Etelä-Karjala";"2029";120150
"MK09 Etelä-Karjala";"2030";119419
"MK09 Etelä-Karjala";"2031";118694
"MK09 Etelä-Karjala";"2032";117969
"MK09 Etelä-Karjala";"2033";117236
"MK09 Etelä-Karjala";"2034";116515
"MK09 Etelä-Karjala";"2035";115782
"MK09 Etelä-Karjala";"2036";115051
"MK09 Etelä-Karjala";"2037";114321
"MK09 Etelä-Karjala";"2038";113588
"MK09 Etelä-Karjala";"2039";112860
"MK09 Etelä-Karjala";"2040";112138
"MK10 Etelä-Savo";"2019";142943
"MK10 Etelä-Savo";"2020";141332
"MK10 Etelä-Savo";"2021";139766
"MK10 Etelä-Savo";"2022";138252
"MK10 Etelä-Savo";"2023";136780
"MK10 Etelä-Savo";"2024";135361
"MK10 Etelä-Savo";"2025";133969
"MK10 Etelä-Savo";"2026";132635
"MK10 Etelä-Savo";"2027";131333
"MK10 Etelä-Savo";"2028";130056
"MK10 Etelä-Savo";"2029";128829
"MK10 Etelä-Savo";"2030";127605
"MK10 Etelä-Savo";"2031";126421
"MK10 Etelä-Savo";"2032";125252
"MK10 Etelä-Savo";"2033";124096
"MK10 Etelä-Savo";"2034";122957
"MK10 Etelä-Savo";"2035";121834
"MK10 Etelä-Savo";"2036";120729
"MK10 Etelä-Savo";"2037";119649
"MK10 Etelä-Savo";"2038";118582
"MK10 Etelä-Savo";"2039";117543
"MK10 Etelä-Savo";"2040";116522
"MK11 Pohjois-Savo";"2019";244648
"MK11 Pohjois-Savo";"2020";243694
"MK11 Pohjois-Savo";"2021";242765
"MK11 Pohjois-Savo";"2022";241848
"MK11 Pohjois-Savo";"2023";240941
"MK11 Pohjois-Savo";"2024";240044
"MK11 Pohjois-Savo";"2025";239130
"MK11 Pohjois-Savo";"2026";238233
"MK11 Pohjois-Savo";"2027";237335
"MK11 Pohjois-Savo";"2028";236422
"MK11 Pohjois-Savo";"2029";235503
"MK11 Pohjois-Savo";"2030";234558
"MK11 Pohjois-Savo";"2031";233609
"MK11 Pohjois-Savo";"2032";232621
"MK11 Pohjois-Savo";"2033";231616
"MK11 Pohjois-Savo";"2034";230570
"MK11 Pohjois-Savo";"2035";229502
"MK11 Pohjois-Savo";"2036";228408
"MK11 Pohjois-Savo";"2037";227285
"MK11 Pohjois-Savo";"2038";226137
"MK11 Pohjois-Savo";"2039";224967
"MK11 Pohjois-Savo";"2040";223779
"MK12 Pohjois-Karjala";"2019";161462
"MK12 Pohjois-Karjala";"2020";160701
"MK12 Pohjois-Karjala";"2021";159945
"MK12 Pohjois-Karjala";"2022";159212
"MK12 Pohjois-Karjala";"2023";158488
"MK12 Pohjois-Karjala";"2024";157789
"MK12 Pohjois-Karjala";"2025";157103
"MK12 Pohjois-Karjala";"2026";156425
"MK12 Pohjois-Karjala";"2027";155749
"MK12 Pohjois-Karjala";"2028";155081
"MK12 Pohjois-Karjala";"2029";154418
"MK12 Pohjois-Karjala";"2030";153737
"MK12 Pohjois-Karjala";"2031";153053
"MK12 Pohjois-Karjala";"2032";152348
"MK12 Pohjois-Karjala";"2033";151639
"MK12 Pohjois-Karjala";"2034";150908
"MK12 Pohjois-Karjala";"2035";150155
"MK12 Pohjois-Karjala";"2036";149386
"MK12 Pohjois-Karjala";"2037";148610
"MK12 Pohjois-Karjala";"2038";147811
"MK12 Pohjois-Karjala";"2039";146990
"MK12 Pohjois-Karjala";"2040";146164
"MK13 Keski-Suomi";"2019";275193
"MK13 Keski-Suomi";"2020";274835
"MK13 Keski-Suomi";"2021";274462
"MK13 Keski-Suomi";"2022";274071
"MK13 Keski-Suomi";"2023";273668
"MK13 Keski-Suomi";"2024";273270
"MK13 Keski-Suomi";"2025";272857
"MK13 Keski-Suomi";"2026";272412
"MK13 Keski-Suomi";"2027";271961
"MK13 Keski-Suomi";"2028";271477
"MK13 Keski-Suomi";"2029";270972
"MK13 Keski-Suomi";"2030";270423
"MK13 Keski-Suomi";"2031";269844
"MK13 Keski-Suomi";"2032";269226
"MK13 Keski-Suomi";"2033";268554
"MK13 Keski-Suomi";"2034";267855
"MK13 Keski-Suomi";"2035";267106
"MK13 Keski-Suomi";"2036";266321
"MK13 Keski-Suomi";"2037";265494
"MK13 Keski-Suomi";"2038";264632
"MK13 Keski-Suomi";"2039";263745
"MK13 Keski-Suomi";"2040";262846
"MK14 Etelä-Pohjanmaa";"2019";188699
"MK14 Etelä-Pohjanmaa";"2020";187713
"MK14 Etelä-Pohjanmaa";"2021";186739
"MK14 Etelä-Pohjanmaa";"2022";185794
"MK14 Etelä-Pohjanmaa";"2023";184858
"MK14 Etelä-Pohjanmaa";"2024";183940
"MK14 Etelä-Pohjanmaa";"2025";183043
"MK14 Etelä-Pohjanmaa";"2026";182163
"MK14 Etelä-Pohjanmaa";"2027";181283
"MK14 Etelä-Pohjanmaa";"2028";180405
"MK14 Etelä-Pohjanmaa";"2029";179523
"MK14 Etelä-Pohjanmaa";"2030";178645
"MK14 Etelä-Pohjanmaa";"2031";177758
"MK14 Etelä-Pohjanmaa";"2032";176883
"MK14 Etelä-Pohjanmaa";"2033";176008
"MK14 Etelä-Pohjanmaa";"2034";175130
"MK14 Etelä-Pohjanmaa";"2035";174243
"MK14 Etelä-Pohjanmaa";"2036";173365
"MK14 Etelä-Pohjanmaa";"2037";172501
"MK14 Etelä-Pohjanmaa";"2038";171641
"MK14 Etelä-Pohjanmaa";"2039";170792
"MK14 Etelä-Pohjanmaa";"2040";169919
"MK15 Pohjanmaa";"2019";180668
"MK15 Pohjanmaa";"2020";180536
"MK15 Pohjanmaa";"2021";180409
"MK15 Pohjanmaa";"2022";180268
"MK15 Pohjanmaa";"2023";180121
"MK15 Pohjanmaa";"2024";179959
"MK15 Pohjanmaa";"2025";179771
"MK15 Pohjanmaa";"2026";179557
"MK15 Pohjanmaa";"2027";179315
"MK15 Pohjanmaa";"2028";179041
"MK15 Pohjanmaa";"2029";178741
"MK15 Pohjanmaa";"2030";178419
"MK15 Pohjanmaa";"2031";178081
"MK15 Pohjanmaa";"2032";177714
"MK15 Pohjanmaa";"2033";177315
"MK15 Pohjanmaa";"2034";176889
"MK15 Pohjanmaa";"2035";176428
"MK15 Pohjanmaa";"2036";175934
"MK15 Pohjanmaa";"2037";175420
"MK15 Pohjanmaa";"2038";174872
"MK15 Pohjanmaa";"2039";174299
"MK15 Pohjanmaa";"2040";173709
"MK16 Keski-Pohjanmaa";"2019";68262
"MK16 Keski-Pohjanmaa";"2020";68082
"MK16 Keski-Pohjanmaa";"2021";67906
"MK16 Keski-Pohjanmaa";"2022";67721
"MK16 Keski-Pohjanmaa";"2023";67536
"MK16 Keski-Pohjanmaa";"2024";67345
"MK16 Keski-Pohjanmaa";"2025";67147
"MK16 Keski-Pohjanmaa";"2026";66935
"MK16 Keski-Pohjanmaa";"2027";66720
"MK16 Keski-Pohjanmaa";"2028";66491
"MK16 Keski-Pohjanmaa";"2029";66256
"MK16 Keski-Pohjanmaa";"2030";66002
"MK16 Keski-Pohjanmaa";"2031";65739
"MK16 Keski-Pohjanmaa";"2032";65467
"MK16 Keski-Pohjanmaa";"2033";65191
"MK16 Keski-Pohjanmaa";"2034";64904
"MK16 Keski-Pohjanmaa";"2035";64627
"MK16 Keski-Pohjanmaa";"2036";64344
"MK16 Keski-Pohjanmaa";"2037";64060
"MK16 Keski-Pohjanmaa";"2038";63780
"MK16 Keski-Pohjanmaa";"2039";63509
"MK16 Keski-Pohjanmaa";"2040";63230
"MK17 Pohjois-Pohjanmaa";"2019";412600
"MK17 Pohjois-Pohjanmaa";"2020";412879
"MK17 Pohjois-Pohjanmaa";"2021";413022
"MK17 Pohjois-Pohjanmaa";"2022";413044
"MK17 Pohjois-Pohjanmaa";"2023";412959
"MK17 Pohjois-Pohjanmaa";"2024";412767
"MK17 Pohjois-Pohjanmaa";"2025";412492
"MK17 Pohjois-Pohjanmaa";"2026";412135
"MK17 Pohjois-Pohjanmaa";"2027";411711
"MK17 Pohjois-Pohjanmaa";"2028";411214
"MK17 Pohjois-Pohjanmaa";"2029";410645
"MK17 Pohjois-Pohjanmaa";"2030";410025
"MK17 Pohjois-Pohjanmaa";"2031";409331
"MK17 Pohjois-Pohjanmaa";"2032";408580
"MK17 Pohjois-Pohjanmaa";"2033";407763
"MK17 Pohjois-Pohjanmaa";"2034";406932
"MK17 Pohjois-Pohjanmaa";"2035";406023
"MK17 Pohjois-Pohjanmaa";"2036";405069
"MK17 Pohjois-Pohjanmaa";"2037";404083
"MK17 Pohjois-Pohjanmaa";"2038";403036
"MK17 Pohjois-Pohjanmaa";"2039";401942
"MK17 Pohjois-Pohjanmaa";"2040";400792
"MK18 Kainuu";"2019";72206
"MK18 Kainuu";"2020";71385
"MK18 Kainuu";"2021";70608
"MK18 Kainuu";"2022";69865
"MK18 Kainuu";"2023";69150
"MK18 Kainuu";"2024";68460
"MK18 Kainuu";"2025";67784
"MK18 Kainuu";"2026";67128
"MK18 Kainuu";"2027";66483
"MK18 Kainuu";"2028";65856
"MK18 Kainuu";"2029";65247
"MK18 Kainuu";"2030";64651
"MK18 Kainuu";"2031";64075
"MK18 Kainuu";"2032";63497
"MK18 Kainuu";"2033";62925
"MK18 Kainuu";"2034";62365
"MK18 Kainuu";"2035";61814
"MK18 Kainuu";"2036";61272
"MK18 Kainuu";"2037";60742
"MK18 Kainuu";"2038";60222
"MK18 Kainuu";"2039";59706
"MK18 Kainuu";"2040";59196
"MK19 Lappi";"2019";177457
"MK19 Lappi";"2020";176502
"MK19 Lappi";"2021";175617
"MK19 Lappi";"2022";174785
"MK19 Lappi";"2023";174000
"MK19 Lappi";"2024";173240
"MK19 Lappi";"2025";172505
"MK19 Lappi";"2026";171788
"MK19 Lappi";"2027";171078
"MK19 Lappi";"2028";170359
"MK19 Lappi";"2029";169639
"MK19 Lappi";"2030";168911
"MK19 Lappi";"2031";168182
"MK19 Lappi";"2032";167466
"MK19 Lappi";"2033";166747
"MK19 Lappi";"2034";166033
"MK19 Lappi";"2035";165313
"MK19 Lappi";"2036";164613
"MK19 Lappi";"2037";163896
"MK19 Lappi";"2038";163177
"MK19 Lappi";"2039";162444
"MK19 Lappi";"2040";161697
"MA2 AHVENANMAA";"2019";30042
"MA2 AHVENANMAA";"2020";30303
"MA2 AHVENANMAA";"2021";30557
"MA2 AHVENANMAA";"2022";30800
"MA2 AHVENANMAA";"2023";31044
"MA2 AHVENANMAA";"2024";31279
"MA2 AHVENANMAA";"2025";31511
"MA2 AHVENANMAA";"2026";31733
"MA2 AHVENANMAA";"2027";31957
"MA2 AHVENANMAA";"2028";32159
"MA2 AHVENANMAA";"2029";32356
"MA2 AHVENANMAA";"2030";32558
"MA2 AHVENANMAA";"2031";32739
"MA2 AHVENANMAA";"2032";32921
"MA2 AHVENANMAA";"2033";33100
"MA2 AHVENANMAA";"2034";33268
"MA2 AHVENANMAA";"2035";33428
"MA2 AHVENANMAA";"2036";33583
"MA2 AHVENANMAA";"2037";33738
"MA2 AHVENANMAA";"2038";33886
"MA2 AHVENANMAA";"2039";34040
"MA2 AHVENANMAA";"2040";34176
"MK21 Ahvenanmaa";"2019";30042
"MK21 Ahvenanmaa";"2020";30303
"MK21 Ahvenanmaa";"2021";30557
"MK21 Ahvenanmaa";"2022";30800
"MK21 Ahvenanmaa";"2023";31044
"MK21 Ahvenanmaa";"2024";31279
"MK21 Ahvenanmaa";"2025";31511
"MK21 Ahvenanmaa";"2026";31733
"MK21 Ahvenanmaa";"2027";31957
"MK21 Ahvenanmaa";"2028";32159
"MK21 Ahvenanmaa";"2029";32356
"MK21 Ahvenanmaa";"2030";32558
"MK21 Ahvenanmaa";"2031";32739
"MK21 Ahvenanmaa";"2032";32921
"MK21 Ahvenanmaa";"2033";33100
"MK21 Ahvenanmaa";"2034";33268
"MK21 Ahvenanmaa";"2035";33428
"MK21 Ahvenanmaa";"2036";33583
"MK21 Ahvenanmaa";"2037";33738
"MK21 Ahvenanmaa";"2038";33886
"MK21 Ahvenanmaa";"2039";34040
"MK21 Ahvenanmaa";"2040";34176
