Sub-Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Helsinki,1568975,1584518,1599657,1614369,1628636,1642432,1655742,1668546,1680808,1692555,1703801,1714548,1724772,1734492,1743694,1752390,1760579,1768241,1775390,1782029,1788197,1793905
Raasepori,40911,40486,40088,39719,39365,39015,38677,38349,38034,37725,37424,37139,36866,36607,36363,36131,35904,35687,35481,35277,35084,34899
Porvoo,59066,59080,59091,59085,59078,59061,59037,59010,58975,58928,58877,58815,58748,58677,58606,58530,58454,58383,58310,58242,58174,58108
Loviisa,17368,17196,17032,16879,16734,16593,16458,16326,16201,16083,15969,15860,15756,15655,15559,15466,15380,15297,15217,15138,15066,14995
Åboland-Turunmaa,21789,21647,21512,21379,21252,21130,21007,20888,20773,20662,20552,20440,20323,20210,20100,19994,19891,19795,19699,19609,19520,19432
Salo,60548,59976,59420,58892,58369,57869,57379,56898,56433,55985,55540,55107,54691,54287,53899,53529,53173,52831,52503,52186,51880,51579
Turku,332033,333799,335483,337100,338668,340195,341680,343108,344478,345785,347017,348176,349237,350206,351046,351761,352352,352806,353137,353343,353441,353452
Vakka-Suomi,31201,31158,31124,31092,31057,31022,30985,30950,30911,30865,30822,30770,30716,30655,30593,30535,30472,30412,30352,30292,30232,30171
Loimaa,33800,33546,33308,33082,32869,32658,32467,32271,32083,31898,31708,31522,31333,31153,30974,30802,30645,30492,30344,30204,30065,29934
Rauma,67037,66711,66399,66092,65784,65473,65157,64836,64518,64201,63878,63549,63225,62907,62583,62261,61944,61629,61313,60998,60680,60360
Pori,131640,130833,130029,129222,128430,127646,126871,126095,125329,124576,123822,123069,122313,121554,120797,120029,119268,118508,117759,117017,116291,115564
Pohjois-Satakunta,18558,18343,18144,17962,17786,17616,17454,17298,17153,17010,16875,16738,16602,16465,16332,16199,16071,15946,15826,15706,15592,15479
Hämeenlinna,93146,92851,92566,92285,92006,91718,91426,91126,90811,90490,90166,89841,89514,89179,88841,88492,88148,87799,87454,87107,86764,86422
Riihimäki,44668,44351,44044,43754,43478,43214,42961,42711,42470,42240,42016,41805,41606,41420,41242,41078,40927,40784,40652,40526,40410,40296
Forssa,32536,32184,31844,31519,31203,30903,30612,30333,30070,29810,29561,29323,29097,28876,28657,28449,28239,28037,27834,27632,27433,27237
Luoteis-Pirkanmaa,15186,15001,14831,14668,14513,14363,14218,14084,13949,13822,13692,13570,13451,13333,13221,13108,13002,12896,12799,12703,12614,12523
Etelä-Pirkanmaa,42307,42087,41875,41671,41463,41255,41050,40851,40652,40454,40251,40052,39860,39676,39494,39324,39163,39015,38873,38744,38621,38496
Tampere,410079,413343,416423,419353,422147,424798,427331,429728,431994,434130,436143,438021,439747,441318,442752,444035,445162,446127,446936,447601,448139,448568
Lounais-Pirkanmaa,27248,26972,26716,26475,26246,26033,25827,25631,25440,25256,25077,24912,24750,24590,24436,24284,24136,23992,23851,23715,23584,23453
Ylä-Pirkanmaa,22589,22197,21828,21481,21155,20843,20547,20268,20006,19752,19514,19282,19053,18839,18628,18431,18243,18059,17886,17715,17551,17390
Lahti,200045,199466,198898,198323,197737,197140,196524,195898,195259,194602,193937,193247,192534,191801,191046,190266,189484,188684,187878,187063,186252,185436
Kouvola,89047,88179,87343,86530,85731,84950,84178,83419,82678,81956,81243,80537,79841,79148,78463,77779,77104,76447,75800,75162,74529,73903
Kotka-Hamina,82692,81948,81227,80530,79846,79177,78524,77888,77262,76641,76020,75409,74808,74210,73625,73044,72476,71914,71367,70826,70291,69758
Lappeenranta,88281,87997,87701,87398,87107,86818,86529,86231,85931,85622,85315,84994,84667,84333,83979,83626,83252,82867,82477,82075,81666,81252
Imatra,39636,39091,38564,38052,37554,37065,36593,36128,35683,35256,34835,34425,34027,33636,33257,32889,32530,32184,31844,31513,31194,30886
Mikkeli,70741,70252,69780,69321,68867,68421,67973,67538,67107,66677,66263,65842,65431,65016,64594,64168,63739,63308,62882,62453,62034,61619
Savonlinna,43672,42976,42294,41625,40982,40371,39775,39212,38666,38135,37624,37122,36644,36172,35716,35273,34837,34417,34006,33606,33218,32841
Pieksämäki,28530,28104,27692,27306,26931,26569,26221,25885,25560,25244,24942,24641,24346,24064,23786,23516,23258,23004,22761,22523,22291,22062
Ylä-Savo,52952,52301,51676,51072,50485,49909,49346,48797,48265,47739,47221,46713,46224,45741,45275,44811,44361,43916,43479,43053,42634,42217
Kuopio,140752,141117,141455,141752,142020,142262,142468,142643,142788,142899,142977,143015,143008,142952,142847,142691,142492,142244,141951,141617,141248,140853
Koillis-Savo,7053,6924,6795,6680,6566,6460,6356,6259,6171,6081,5999,5915,5838,5763,5690,5621,5554,5493,5435,5375,5321,5266
Varkaus,30101,29734,29386,29055,28737,28430,28124,27833,27547,27268,26994,26728,26472,26219,25973,25731,25493,25261,25030,24802,24573,24346
Sisä-Savo,13790,13618,13453,13289,13133,12983,12836,12701,12564,12435,12312,12187,12067,11946,11831,11716,11602,11494,11390,11290,11191,11097
Joensuu,124264,124165,124035,123894,123738,123578,123406,123227,123031,122827,122609,122371,122118,121832,121528,121191,120823,120419,120000,119547,119067,118571
Keski-Karjala,16715,16428,16154,15897,15652,15422,15203,14989,14783,14588,14397,14208,14023,13843,13669,13503,13339,13186,13032,12885,12738,12595
Pielisen Karjala,20483,20108,19756,19421,19098,18789,18494,18209,17935,17666,17412,17158,16912,16673,16442,16214,15993,15781,15578,15379,15185,14998
Jyväskylä,186556,187587,188532,189400,190213,190976,191685,192325,192908,193440,193913,194319,194662,194934,195130,195253,195301,195279,195188,195038,194835,194601
Joutsa,5089,5009,4934,4863,4793,4729,4665,4603,4546,4488,4433,4381,4329,4280,4232,4187,4144,4104,4066,4029,3998,3961
Keuruu,11188,11038,10898,10771,10644,10527,10411,10301,10195,10089,9984,9883,9787,9692,9602,9516,9433,9356,9279,9204,9135,9065
Jämsä,22473,22116,21777,21457,21153,20862,20583,20312,20052,19797,19548,19305,19067,18842,18622,18411,18209,18012,17824,17640,17461,17292
Äänekoski,21246,20952,20670,20394,20121,19857,19596,19339,19092,18848,18610,18373,18146,17922,17706,17499,17301,17113,16933,16760,16593,16431
Saarijärvi-Viitasaari,28641,28133,27651,27186,26744,26319,25917,25532,25168,24815,24484,24162,23853,23556,23262,22989,22718,22457,22204,21961,21723,21496
Suupohja,21417,21082,20758,20450,20157,19877,19617,19366,19119,18878,18633,18403,18176,17960,17748,17538,17330,17132,16939,16756,16578,16402
Seinäjoki,126856,126808,126739,126652,126545,126422,126288,126148,125997,125823,125631,125412,125170,124913,124638,124340,124022,123689,123351,122998,122640,122254
Kuusiokunnat,20504,20205,19919,19644,19378,19120,18868,18622,18381,18154,17934,17723,17516,17319,17129,16943,16762,16584,16416,16252,16095,15940
Järviseutu,19922,19618,19323,19048,18778,18521,18270,18027,17786,17550,17325,17107,16896,16691,16493,16309,16129,15960,15795,15635,15479,15323
Kyrönmaa,12621,12576,12522,12461,12404,12338,12269,12201,12130,12053,11976,11897,11818,11742,11667,11594,11522,11457,11392,11333,11275,11215
Vaasa,101346,101467,101578,101671,101749,101810,101858,101890,101908,101903,101878,101835,101773,101678,101553,101404,101233,101024,100800,100543,100268,99981
Sydösterbotten,17223,17135,17066,17007,16957,16916,16876,16835,16794,16751,16705,16655,16607,16555,16500,16441,16377,16310,16242,16173,16100,16025
Jakobstadsregionen,49478,49358,49243,49129,49011,48895,48768,48631,48483,48334,48182,48032,47883,47739,47595,47450,47296,47143,46986,46823,46656,46488
Kaustinen,15112,14951,14799,14648,14501,14355,14215,14072,13932,13791,13656,13518,13383,13252,13126,13001,12891,12778,12666,12561,12465,12364
Kokkola,53150,53131,53107,53073,53035,52990,52932,52863,52788,52700,52600,52484,52356,52215,52065,51903,51736,51566,51394,51219,51044,50866
Oulu,252429,254275,255971,257533,258968,260295,261507,262623,263649,264591,265435,266202,266871,267449,267936,268336,268646,268859,268992,269040,269017,268937
Oulunkaari,23138,22851,22568,22291,22016,21747,21485,21229,20986,20747,20522,20302,20090,19883,19679,19494,19312,19143,18980,18824,18672,18520
Raahe,32929,32653,32378,32100,31827,31550,31270,30988,30704,30411,30120,29829,29537,29251,28973,28703,28433,28178,27931,27688,27454,27220
Haapavesi-Siikalatva,13510,13311,13110,12915,12722,12535,12355,12182,12019,11863,11714,11570,11428,11290,11154,11028,10903,10782,10670,10562,10454,10349
Nivala-Haapajärvi,28139,27789,27452,27114,26793,26475,26165,25865,25571,25281,24993,24715,24447,24187,23935,23700,23466,23243,23031,22818,22614,22412
Ylivieska,43464,43235,42994,42750,42497,42235,41979,41711,41444,41179,40915,40649,40387,40123,39855,39600,39348,39102,38862,38626,38392,38153
Koillismaa,18991,18765,18549,18341,18136,17930,17731,17537,17338,17142,16946,16758,16571,16397,16231,16071,15915,15762,15617,15478,15339,15201
Kehys-Kainuu,20626,20196,19786,19393,19022,18665,18317,17986,17661,17354,17055,16764,16486,16211,15945,15686,15436,15196,14961,14734,14514,14298
Kajaani,51580,51189,50822,50472,50128,49795,49467,49142,48822,48502,48192,47887,47589,47286,46980,46679,46378,46076,45781,45488,45192,44898
Rovaniemi,67035,67229,67409,67577,67741,67897,68046,68182,68306,68410,68498,68571,68622,68664,68683,68690,68674,68640,68584,68509,68414,68304
Kemi-Tornio,56525,55944,55401,54887,54392,53909,53441,52989,52545,52109,51684,51264,50848,50450,50062,49678,49298,48931,48563,48199,47840,47479
Torniolaakso,7292,7145,7005,6879,6759,6647,6543,6446,6353,6262,6175,6089,6009,5931,5856,5783,5715,5650,5589,5530,5468,5412
Itä-Lappi,15745,15447,15163,14895,14643,14405,14178,13961,13754,13556,13364,13173,12994,12821,12649,12485,12327,12180,12034,11892,11756,11624
Tunturi-Lappi,14342,14289,14245,14203,14165,14127,14086,14046,14006,13963,13913,13865,13818,13770,13727,13683,13643,13606,13573,13542,13512,13477
Pohjois-Lappi,16518,16448,16394,16344,16300,16255,16211,16164,16114,16059,16005,15949,15891,15830,15770,15714,15656,15606,15553,15505,15454,15401
Mariehamns stad,11853,11961,12064,12165,12261,12358,12453,12545,12633,12719,12803,12881,12958,13031,13099,13164,13223,13279,13335,13386,13436,13481
Ålands landsbygd,16128,16286,16439,16586,16728,16866,17000,17124,17252,17365,17475,17589,17688,17792,17899,18000,18098,18193,18290,18386,18485,18578
Ålands skärgård,2061,2056,2054,2049,2055,2055,2058,2064,2072,2075,2078,2088,2093,2098,2102,2104,2107,2111,2113,2114,2119,2117